"question_no","question_label","data_column_role","vendor_variable","vendor_label"
"Q45","다양성이 존중되는 분위기","raw","Q37","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사에서는 구성원들의 각기 다른 업무 성향과 일하는 방식이 존중받는다."
"Q46","개인의 상황을 배려하는 분위기","raw","Q38","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사는 업무가 긴박한 상황에서도 구성원들의 개인적인 상황과 컨디션을 배려한다."
"Q47","수평적으로 소통하는 분위기","raw","Q39","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사에서는 역할/직책에 관계 없이 누구나 의견을 자유롭게 제시한다."
"Q48","정제되지 않은 생각부터 나누는 분위기","raw","Q40","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사의 구성원들은 완벽하지 않은 아이디어도 스스럼 없이 공유한다."
"Q49","문제를 솔직하게 꺼내는 분위기","raw","Q41","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사의 구성원들은 크고 작은 문제에 대해서 거리낌 없이 솔직하게 이야기한다."
"Q50","서로 친하게 지내는 분위기","raw","Q42","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사의 구성원들은 서로 잘 알고 지내며 친밀하게 어울린다."
"Q51","목표와 방향을 맞춰 가는 분위기","raw","Q43","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사의 구성원들은 서로 다른 역할을 수행하면서도 큰 목표와 방향을 함께 논의하고 조율한다."
"Q52","전문성과 강점을 신뢰하는 분위기","raw","Q44","우리 회사는 다음 내용에 얼마나 해당하나요?
 




우리 회사의 구성원들은 서로의 전문성과 강점을 깊이 이해하고 신뢰한다."
"Q53","조직의 핵심 가치/비전을 알고 있음","raw","Q46","우리 회사는 다음 내용에 얼마나 해당하나요?
 




나는 우리 회사의 핵심 가치/비전이 무엇인지 알고 있다. (문장이나 단어로 표현 가능)




*핵심 가치 : 조직의 정체성과 행동의 기반이 되는 신념과 원칙 (예. 혁신, 고객 중심, 지속 가능성, 신뢰, 성장)
*비전 : 기업이 장기적으로 달성하고자 하는 목표와 방향성 (예. 사람과 기술을 연결하여 더 나은 세상을 만든다 / 지속 가능한 글로벌 리더로 성장한다)"
"Q54","조직의 핵심 가치/비전에 공감함","raw","Q47","우리 회사는 다음 내용에 얼마나 해당하나요?
 




나는 우리 회사의 핵심 가치/비전에 개인적으로 공감하며, 실제로 중요하다고 생각한다.




*핵심 가치 : 조직의 정체성과 행동의 기반이 되는 신념과 원칙 (예. 혁신, 고객 중심, 지속 가능성, 신뢰, 성장)
*비전 : 기업이 장기적으로 달성하고자 하는 목표와 방향성 (예. 사람과 기술을 연결하여 더 나은 세상을 만든다 / 지속 가능한 글로벌 리더로 성장한다)"
"Q55","조직의 핵심 가치/비전을 실천하고 있음","raw","Q48","우리 회사는 다음 내용에 얼마나 해당하나요?
 




나는 우리 회사의 핵심 가치/비전을 일하면서 실천한다.




*핵심 가치 : 조직의 정체성과 행동의 기반이 되는 신념과 원칙 (예. 혁신, 고객 중심, 지속 가능성, 신뢰, 성장)
*비전 : 기업이 장기적으로 달성하고자 하는 목표와 방향성 (예. 사람과 기술을 연결하여 더 나은 세상을 만든다 / 지속 가능한 글로벌 리더로 성장한다)"
"Q56","의미-1","raw","Q50","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




내가 하는 업무는 나에게 매우 중요하다."
"Q57","의미-2","raw","Q51","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나의 업무와 관련된 활동은 나에게 개인적으로 의미가 있는 일이다."
"Q58","의미-3","raw","Q52","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




내가 하는 업무는 나에게 가치가 있다."
"Q59","유능성-1","raw","Q53","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나는 나의 업무 수행에 자신감을 갖고 있다."
"Q60","유능성-2","raw","Q54","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나는 나의 업무를 수행하는데 필요한 기술과 지식을 가지고 있다."
"Q61","유능성-3","raw","Q55","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나는 나의 업무 수행 능력에 대하여 스스로 확신을 갖고 있다."
"Q62","자기결정감-1","raw","Q56","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나는 나의 업무를 수행할 방법을 결정하는데 자율성을 가지고 있다."
"Q63","자기결정감-2","raw","Q57","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나는 나의 업무를 처리할 방법을 스스로 결정할 수 있다."
"Q64","자기결정감-3","raw","Q58","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나에게는 독립성과 자유를 갖고 업무를 수행할 수 있는 기회가 충분히 주어진다."
"Q65","영향력-1","raw","Q59","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나의 부서에서 나의 영향력은 크다."
"Q66","영향력-2","raw","Q60","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나는 나의 부서에서 일어나는 일을 상당히 통제할 수 있다."
"Q67","영향력-3","raw","Q61","다음 문장에 대해 얼마나 동의하시는지 체크해 주세요.
 




나는 나의 부서에서 일어나는 일에 있어서 상당한 영향력을 가지고 있다."
"D1","의미 평균","derived","",""
"D2","유능성 평균","derived","",""
"D3","자기결정감 평균","derived","",""
"D4","영향력 평균","derived","",""
"D5","심리적 임파워먼트 평균","derived","",""
"Q68","현재 좌석 운영 방식 (고정/자율)","raw","Q105","현재 오피스의 좌석 운영 방식은 무엇인가요?"
"Q69","선호하는 좌석 운영 방식 (고정/자율)","raw","Q106","다음 중 귀하께서 더 선호하는 좌석 운영 방식을 선택해 주세요."
"Q70","개인 좌석 - 주변 시선 차단 여부","raw","Q63","귀하께서 사용하시는 업무 좌석에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




내 자리는 주변 시선이 적절히 차단된다."
"Q71","개인 좌석 - 주변 소음 차단 여부","raw","Q64","귀하께서 사용하시는 업무 좌석에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




내 자리는 주변 소음이 적절히 차단된다."
"Q72","개인 좌석 - 책상/의자 조절 가능 여부","raw","Q65","귀하께서 사용하시는 업무 좌석에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




내 자리는 책상/의자를 몸에 맞게 조절할 수 있다."
"Q73","개인 좌석 - 자연광 접촉 가능 여부","raw","Q66","귀하께서 사용하시는 업무 좌석에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




내 자리는 자연광이 충분히 들어온다."
"Q74","업무층 환경 - 밀도가 적절한가","raw","Q67","귀하께서 사용하시는 업무 공간에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




내가 일하는 업무층은 밀도가 쾌적하다."
"Q75","업무층 환경 - 조도/밝기가 적절한가","raw","Q68","귀하께서 사용하시는 업무 공간에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




내가 일하는 업무층은 조도/밝기가 적절하다."
"Q76","업무층 환경 - 식물/플랜테리어가 조성되어 있는가","raw","Q69","귀하께서 사용하시는 업무 공간에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




내가 일하는 업무층은 식물/플랜테리어가 적절히 조성되어 있다."
"Q77","업무층 환경 - 좌석 형태/구성이 다양한가","raw","Q70","귀하께서 사용하시는 업무 공간에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




내가 일하는 업무층은 좌석의 형태와 구성이 다양하다."
"Q78","직원들과 가까운 곳에 있는가","raw","Q77","다음 문장에 얼마나 동의하십니까?
 




우리 회사의 리더 업무 공간은 일반 구성원들의 업무 공간과 물리적으로 가깝다.




*일반 구성원 좌석과 크기/형태가 다르거나, 방으로 구분된 리더의 방 또는 좌석
*예: 유리벽, 구성원 좌석과 함께 배치된 임원석"
"Q79","직원들에게 시각적으로 열려 있는가","raw","Q78","다음 문장에 얼마나 동의하십니까?
 




우리 회사의 리더 업무 공간은 일반 구성원들에게 시각적으로 개방되어 있다.




*일반 구성원 좌석과 크기/형태가 다르거나, 방으로 구분된 리더의 방 또는 좌석"
"Q80","회의 가구나 장비가 있는가","raw","Q79","다음 문장에 얼마나 동의하십니까?
 




우리 회사의 리더 업무 공간은 회의 장비 및 가구*가 적절히 마련되어 있다.*디스플레이, 화이트보드, 보조 소파/의자 등




*일반 구성원 좌석과 크기/형태가 다르거나, 방으로 구분된 리더의 방 또는 좌석"
"Q81","위계감을 덜어주는 편안한 분위기인가","raw","Q83","다음 문장에 얼마나 동의하십니까?
 




우리 회사의 회의/협업 공간은 긴장감을 덜어주는 편안한 분위기이다."
"Q82","소규모 회의 공간(2-4인 규모)이 적절히 계획됐는가","raw","Q85","구성원들이 회의나 협업을 할 때 사용할 수 있는 다양한 공간들에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




소규모* 회의 공간이 적절히 계획되어 있다.*2-4인 규모"
"Q83","중규모 회의 공간(5-8인 규모)이 적절히 계획됐는가","raw","Q86","구성원들이 회의나 협업을 할 때 사용할 수 있는 다양한 공간들에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




중규모* 회의 공간이 적절히 계획되어 있다.*5-8인 규모"
"Q84","대규모 회의 공간(9인 이상)이 적절히 계획됐는가","raw","Q87","구성원들이 회의나 협업을 할 때 사용할 수 있는 다양한 공간들에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




대규모* 회의 공간이 적절히 계획되어 있다.*9인 이상 규모"
"Q85","아이디어를 그림/판서로 표현할 수 있는가","raw","Q82","다음 문장에 얼마나 동의하십니까?
 




우리 회사의 회의/협업 공간은 아이디어 비주얼라이제이션 툴*이 적절히 갖춰져 있다. *화이트보드, 전자칠판 등 아이디어를 직접 쓰거나 그릴 수 있는 도구"
"Q86","긴장감을 덜어주는 편안한 분위기인가","raw","Q83","다음 문장에 얼마나 동의하십니까?
 




우리 회사의 회의/협업 공간은 긴장감을 덜어주는 편안한 분위기이다."
"Q87","예약 없이 사용할 수 있는 회의 공간이 있는가","raw","Q88","구성원들이 회의나 협업을 할 때 사용할 수 있는 다양한 공간들에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




예약 없이 바로 사용할 수 있는 회의 공간이 적절히 계획되어 있다."
"Q88","그룹(팀/TF) 전용 협업 공간이 있는가","raw","Q89","구성원들이 회의나 협업을 할 때 사용할 수 있는 다양한 공간들에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




팀/TF 구성원끼리 일정 기간 모여서 일하는 그룹 전용 협업 공간*이 적절히 계획되어 있다.*TF룸, 팀 허브 등 / 일반 회의실을 점유하는 경우는 제외"
"Q89","라운지 계획 여부","raw","Q90","다음은 회사의 라운지(또는 공용공간)*에 대한 질문입니다.*조직 내 모든 구성원이 사용할 수 있으며, 업무·협업·소통·휴식 등 다양한 행태를 수용하는 공간
 
귀하의 오피스에는 라운지(또는 공용공간)이 마련되어 있나요?"
"Q90","다양한 사람이 접근하기 쉬운 위치에 있는가","raw","Q91","귀하의 오피스 내 라운지에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




다양한 팀/부서에서 접근하기 쉬운 위치에 계획되어 있다."
"Q91","커피, 간식 등 식음 요소가 있는가","raw","Q92","귀하의 오피스 내 라운지에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




커피, 간식 등 식음에 용이한 탕비 시설이 적절히 계획되어 있다."
"Q92","다인원 이벤트/행사를 할 수 있는가","raw","Q93","귀하의 오피스 내 라운지에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




다인원 이벤트/행사를 수용할 수 있는 규모 및 시설이 갖춰져 있다."
"Q93","주변 시선/소음이 가려지는 대화 공간이 있는가","raw","Q94","귀하의 오피스 내 라운지에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




주변 시선과 소음이 가려지는 프라이빗한 대화 공간이 적절히 계획되어 있다."
"Q94","심미적으로 아름답게 디자인되어 있는가","raw","Q95","귀하의 오피스 내 라운지에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




시각적 아름다움/심미적 만족감을 느낄 수 있다."
"Q95","회사의 아이덴티티를 느낄 수 있는가","raw","Q96","귀하의 오피스 내 라운지에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




회사의 아이덴티티/정체성*을 느낄 수 있다.*BI/CI가 적용된 디자인 무드, 로고, 사이니지 등"
"Q96","자리를 떠나 일할 수 있는 ‘프라이빗한’ 공간이 있는가","raw","Q72","다음은 구성원들이 업무 시간에 내 자리를 떠나 사용할 수 있는 다양한 공간에 대한 질문입니다. 
다음 문장에 얼마나 동의하십니까?
 




주변으로부터 방해받지 않을 수 있는 프라이빗한 업무 공간이 회사에 갖춰져 있다."
"Q97","자리를 떠나 일할 수 있는 ‘오픈된’ 공간이 있는가","raw","Q73","다음은 구성원들이 업무 시간에 내 자리를 떠나 사용할 수 있는 다양한 공간에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




캐주얼한 분위기의 오픈된 업무 공간*이 적절히 계획되어 있다.*일할 수 있는 라운지 등"
"Q98","개인 휴식 공간","raw","Q74","다음은 구성원들이 업무 시간에 내 자리를 떠나 사용할 수 있는 다양한 공간에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




조용히 혼자 쉴 수 있는 휴식 공간이 적절히 계획되어 있다."
"Q99","옥외 공간 (테라스, 산책로 등)","raw","Q75","다음은 구성원들이 업무 시간에 내 자리를 떠나 사용할 수 있는 다양한 공간에 대한 질문입니다.
다음 문장에 얼마나 동의하십니까?
 




테라스, 산책로 등의 옥외 공간이 적절히 계획되어 있다."
"Q100","조직 문화를 반영한 오피스의 긍정적 효과","raw","Q107","조직 문화와 핵심 가치가 잘 반영된 오피스는 구성원들에게 어떤 긍정적인 효과가 있다고 생각하시나요?
해당하는 보기를 모두 선택해 주세요."
"Q100_M1","조직 문화를 반영한 오피스의 긍정적 효과__회사의 방향성에 구성원의 업무 목표를 연계시키기 용이","expanded","",""
"Q100_M2","조직 문화를 반영한 오피스의 긍정적 효과__회사에 대한 구성원의 신뢰 증진","expanded","",""
"Q100_M3","조직 문화를 반영한 오피스의 긍정적 효과__업무 몰입도 증진","expanded","",""
"Q100_M4","조직 문화를 반영한 오피스의 긍정적 효과__공동체 의식 & 조직 소속감 증진","expanded","",""
"Q100_M5","조직 문화를 반영한 오피스의 긍정적 효과__심리적 안전감 증진","expanded","",""
"Q100_M6","조직 문화를 반영한 오피스의 긍정적 효과__일하는 공간에 대한 구성원들의 만족도 증진","expanded","",""
"Q100_M7","조직 문화를 반영한 오피스의 긍정적 효과__기타 (직접 입력)","expanded","",""
"Q100_M7_TEXT","조직 문화를 반영한 오피스의 긍정적 효과__기타_텍스트","expanded","",""
"Q3_TEXT","업종__기타_텍스트","expanded","SQ6_ETCTEXT","귀하께서 재직 중인 기업은 다음 중 어느 업종에 해당하나요? - 기타(직접 입력) 텍스트"
"Q4_TEXT","기업 유형__기타_텍스트","expanded","Q1_ETCTEXT","귀하께서 재직 중인 기업은 다음 중 어디에 해당하나요? - 기타(직접 입력) 텍스트"
"Q8_TEXT","직무__기타_텍스트","expanded","Q5_ETCTEXT","현재 귀하께서 담당하고 있는 직무는 무엇인가요? - 기타(직접 입력) 텍스트"
"Q68_TEXT","현재 좌석 운영 방식 (고정/자율)__기타_텍스트","expanded","Q105_ETCTEXT","현재 오피스의 좌석 운영 방식은 무엇인가요? - 기타(직접 입력) 텍스트"
"Q69_TEXT","선호하는 좌석 운영 방식 (고정/자율)__기타_텍스트","expanded","Q106_ETCTEXT","다음 중 귀하께서 더 선호하는 좌석 운영 방식을 선택해 주세요. - 기타(직접 입력) 텍스트"
