"question_no","category_1","category_2","question_label","question_full","response_options","response_type","value_count","value_code_map","number_unit","other_input_expected","data_column_role","dashboard_value_type","formula"
"Q9_R1","일하는 방식","커뮤니케이션 특성","협업 대상_1순위","다음 중 사내에서 우리 팀을 제외하고 협업을 가장 많이 하는 팀(부서)를 선택해주세요.*협업 대상이 없을 경우 [해당사항 없음]을 선택해주세요.","","객관식 순위","17","1=기획조정실 - 기획예산팀|2=기획조정실 - 경영전략팀|3=기획조정실 - 홍보팀|4=경영지원실 - 총무팀|5=경영지원실 - 인사팀|6=경영지원실 - 사옥관리팀|7=금융사업실 - 금융사업팀|8=금융사업실 - 대체투자팀|9=금융사업실 - 회계팀|10=영업지원실 - 영업업무팀|11=영업지원실 - 공제사업팀|12=영업지원실 - 신용심사팀|13=채권관리실 - 채권관리팀|14=채권관리실 - 법무팀|15=정보화지원센터|16=감사실|17=해당사항 없음","","N","expanded","label",""
"Q9_R2","일하는 방식","커뮤니케이션 특성","협업 대상_2순위","다음 중 사내에서 우리 팀을 제외하고 협업을 가장 많이 하는 팀(부서)를 선택해주세요.*협업 대상이 없을 경우 [해당사항 없음]을 선택해주세요.","","객관식 순위","17","1=기획조정실 - 기획예산팀|2=기획조정실 - 경영전략팀|3=기획조정실 - 홍보팀|4=경영지원실 - 총무팀|5=경영지원실 - 인사팀|6=경영지원실 - 사옥관리팀|7=금융사업실 - 금융사업팀|8=금융사업실 - 대체투자팀|9=금융사업실 - 회계팀|10=영업지원실 - 영업업무팀|11=영업지원실 - 공제사업팀|12=영업지원실 - 신용심사팀|13=채권관리실 - 채권관리팀|14=채권관리실 - 법무팀|15=정보화지원센터|16=감사실|17=해당사항 없음","","N","expanded","label",""
"Q9_R3","일하는 방식","커뮤니케이션 특성","협업 대상_3순위","다음 중 사내에서 우리 팀을 제외하고 협업을 가장 많이 하는 팀(부서)를 선택해주세요.*협업 대상이 없을 경우 [해당사항 없음]을 선택해주세요.","","객관식 순위","17","1=기획조정실 - 기획예산팀|2=기획조정실 - 경영전략팀|3=기획조정실 - 홍보팀|4=경영지원실 - 총무팀|5=경영지원실 - 인사팀|6=경영지원실 - 사옥관리팀|7=금융사업실 - 금융사업팀|8=금융사업실 - 대체투자팀|9=금융사업실 - 회계팀|10=영업지원실 - 영업업무팀|11=영업지원실 - 공제사업팀|12=영업지원실 - 신용심사팀|13=채권관리실 - 채권관리팀|14=채권관리실 - 법무팀|15=정보화지원센터|16=감사실|17=해당사항 없음","","N","expanded","label",""
"Q9_R4","일하는 방식","커뮤니케이션 특성","협업 대상_4순위","다음 중 사내에서 우리 팀을 제외하고 협업을 가장 많이 하는 팀(부서)를 선택해주세요.*협업 대상이 없을 경우 [해당사항 없음]을 선택해주세요.","","객관식 순위","17","1=기획조정실 - 기획예산팀|2=기획조정실 - 경영전략팀|3=기획조정실 - 홍보팀|4=경영지원실 - 총무팀|5=경영지원실 - 인사팀|6=경영지원실 - 사옥관리팀|7=금융사업실 - 금융사업팀|8=금융사업실 - 대체투자팀|9=금융사업실 - 회계팀|10=영업지원실 - 영업업무팀|11=영업지원실 - 공제사업팀|12=영업지원실 - 신용심사팀|13=채권관리실 - 채권관리팀|14=채권관리실 - 법무팀|15=정보화지원센터|16=감사실|17=해당사항 없음","","N","expanded","label",""
"Q10","오피스 경험 니즈","","업무 외 활동 니즈","오피스 내 새로운 공간이 조성된다면 해당 공간에서 어떤 경험을 하고 싶은지 순서대로 선택해주세요.","분리된 공간에서 조용하게 집중 업무|캐주얼한 분위기에서 편안하게 업무|장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅|카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅|조직 구성원이 모여 자유로운 업무공유 및 토론|조직 구성원과의 편안한 대화|출근 직후 및 점심 시간에 간단한 취식|출근 직후 또는 업무 중 짧은 휴식|별도로 마련된 공간에서 고객 및 방문자 응대|기타 (구체적으로 명시)","객관식 순위","10","1=분리된 공간에서 조용하게 집중 업무|2=캐주얼한 분위기에서 편안하게 업무|3=장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅|4=카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅|5=조직 구성원이 모여 자유로운 업무공유 및 토론|6=조직 구성원과의 편안한 대화|7=출근 직후 및 점심 시간에 간단한 취식|8=출근 직후 또는 업무 중 짧은 휴식|9=별도로 마련된 공간에서 고객 및 방문자 응대|10=기타 (구체적으로 명시)","","Y","raw","label",""
"Q10_R1","오피스 경험 니즈","","업무 외 활동 니즈_1순위","오피스 내 새로운 공간이 조성된다면 해당 공간에서 어떤 경험을 하고 싶은지 순서대로 선택해주세요.","","객관식 순위","10","1=분리된 공간에서 조용하게 집중 업무|2=캐주얼한 분위기에서 편안하게 업무|3=장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅|4=카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅|5=조직 구성원이 모여 자유로운 업무공유 및 토론|6=조직 구성원과의 편안한 대화|7=출근 직후 및 점심 시간에 간단한 취식|8=출근 직후 또는 업무 중 짧은 휴식|9=별도로 마련된 공간에서 고객 및 방문자 응대|10=기타 (구체적으로 명시)","","N","expanded","label",""
"Q10_R2","오피스 경험 니즈","","업무 외 활동 니즈_2순위","오피스 내 새로운 공간이 조성된다면 해당 공간에서 어떤 경험을 하고 싶은지 순서대로 선택해주세요.","","객관식 순위","10","1=분리된 공간에서 조용하게 집중 업무|2=캐주얼한 분위기에서 편안하게 업무|3=장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅|4=카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅|5=조직 구성원이 모여 자유로운 업무공유 및 토론|6=조직 구성원과의 편안한 대화|7=출근 직후 및 점심 시간에 간단한 취식|8=출근 직후 또는 업무 중 짧은 휴식|9=별도로 마련된 공간에서 고객 및 방문자 응대|10=기타 (구체적으로 명시)","","N","expanded","label",""
"Q10_R3","오피스 경험 니즈","","업무 외 활동 니즈_3순위","오피스 내 새로운 공간이 조성된다면 해당 공간에서 어떤 경험을 하고 싶은지 순서대로 선택해주세요.","","객관식 순위","10","1=분리된 공간에서 조용하게 집중 업무|2=캐주얼한 분위기에서 편안하게 업무|3=장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅|4=카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅|5=조직 구성원이 모여 자유로운 업무공유 및 토론|6=조직 구성원과의 편안한 대화|7=출근 직후 및 점심 시간에 간단한 취식|8=출근 직후 또는 업무 중 짧은 휴식|9=별도로 마련된 공간에서 고객 및 방문자 응대|10=기타 (구체적으로 명시)","","N","expanded","label",""
"Q10_TEXT","오피스 경험 니즈","","업무 외 활동 니즈__기타_텍스트","오피스 내 새로운 공간이 조성된다면 해당 공간에서 어떤 경험을 하고 싶은지 순서대로 선택해주세요.","","객관식 순위","","","","Y","expanded","text",""
"Q11","오피스 경험 니즈","","오피스 경험 인식_기능 공간","다음 문장에 대해 얼마나 동의하시나요? 동의하는 정도를 체크해주세요. ""오피스는 조직 구성원들이 모여 일을 하는 기능 공간이다. 정해진 시간에 효율적으로 일하기 위한 기능적 측면이 중요하다.""","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q12","오피스 경험 니즈","","오피스 경험 인식_생활 공간","다음 문장에 대해 얼마나 동의하시나요? 동의하는 정도를 체크해주세요. ""오피스는 조직 구성원들이 근무 시간 동안 지내는 일종의 생활 공간이다. 구성원들이 원하는 분위기, 감성, 편의성을 고려한 생활 경험이 중요하다.""","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q13","인식 조사","사무환경 만족도","사무환경 만족도_종합","나는 만족스러운 근무 환경에서 일하고 있다.","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q14","인식 조사","사무환경 만족도","사무환경 만족도_직원 배려","우리 회사의 사무환경은 직원을 배려한 환경이다.","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q15","인식 조사","사무환경 만족도","사무환경 만족도_업무 효율","우리 회사의 사무환경은 업무를 효율적으로 지원해주는 환경이다.","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q16","인식 조사","사무환경 만족도","사무환경 만족도_유연","우리 회사의 사무환경은 경직되어 있지 않고 유연하다.","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q17","인식 조사","사무환경 만족도","사무환경 만족도_수평","우리 회사는 직급에 관계 없이 공간을 자유롭게 사용할 수 있다.","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q18","인식 조사","조직문화 만족도","조직문화 만족도_유연","우리 회사는 시대의 변화에 유연하게 대응한다","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q19","인식 조사","조직문화 만족도","조직문화 만족도_친밀함","우리 회사는 구성원들간의 친밀도가 좋은 편이다","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q20","인식 조사","조직문화 만족도","조직문화 만족도_동기부여","우리 회사는 구성원에게 업무에 대한 동기부여와 긍정적 자극을 준다","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q21","인식 조사","조직문화 만족도","조직문화 만족도_자율","우리 회사는 구성원이 주도적으로 업무를 수행하고 자율적으로 관리한다","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q22","인식 조사","조직문화 만족도","조직문화 만족도_워라밸","우리 회사는 구성원의 일과 삶의 균형에 긍정적인 영향을 미친다","매우 아니다|아니다|보통이다|그렇다|매우 그렇다","객관식 척도","5","1=매우 아니다|2=아니다|3=보통이다|4=그렇다|5=매우 그렇다","","N","raw","score",""
"Q23","인식 조사","사무환경-사용자 간 영향력","커피를 마시며 동료와 대화","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   커피를 마시며 동료와 대화","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q24","인식 조사","사무환경-사용자 간 영향력","우연한 만남을 통한 가벼운 커뮤니케이션","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   우연한 만남을 통한 가벼운 커뮤니케이션","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q25","인식 조사","사무환경-사용자 간 영향력","필요에 맞게 자율적으로 일 할 공간을 선택","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   필요에 맞게 자율적으로 일 할 공간을 선택","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q26","인식 조사","사무환경-사용자 간 영향력","재충전을 위한 개인 휴식","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   재충전을 위한 개인 휴식","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q27","인식 조사","사무환경-사용자 간 영향력","필요에 맞게 협업 공간 선택","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   필요에 맞게 협업 공간 선택","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q28","인식 조사","사무환경-사용자 간 영향력","팀원 또는 유관 팀과 정기적 회의","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   팀원 또는 유관 팀과 정기적 회의","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q29","인식 조사","사무환경-사용자 간 영향력","서로의 작업 진행 상황과 정보를 공유","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   서로의 작업 진행 상황과 정보를 공유","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q30","인식 조사","사무환경-사용자 간 영향력","팀원 또는 유관 팀과 간단한 캐주얼 회의","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   팀원 또는 유관 팀과 간단한 캐주얼 회의","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q31","인식 조사","사무환경-사용자 간 영향력","혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q32","인식 조사","사무환경-사용자 간 영향력","업무 중 상급자와 부담없이 소통","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   업무 중 상급자와 부담없이 소통","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q33","인식 조사","사무환경-사용자 간 영향력","통화나 회의로 발생하는 소음을 최소화","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   통화나 회의로 발생하는 소음을 최소화","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q34","인식 조사","사무환경-사용자 간 영향력","직급/직책에 관계없이 의견 개진 및 다양한 직급/직책간 상호 교류","우리 회사의 사무환경은 다음 행동을 하는 데 어떤 영향을 미치나요?   직급/직책에 관계없이 의견 개진 및 다양한 직급/직책간 상호 교류","매우 안좋다|||영향 없다|||매우 좋다","객관식 척도","7","1=매우 안좋다|2=|3=|4=영향 없다|5=|6=|7=매우 좋다","","N","raw","score",""
"Q35","기타","","자유 의견","마지막으로 전기공사공제조합의 사무환경 개선에 관한 기타 의견이 있으시면 자유롭게 서술해주세요.","","주관식 문자","","","","N","raw","text",""
"Q36","응답자 정보","","연령대","","50대 이상|40대|30대|20대","객관식 단일","4","1=50대 이상|2=40대|3=30대|4=20대","","N","raw","label",""
"Q37","응답자 정보","","소속","","기획조정실 - 기획예산팀|기획조정실 - 경영전략팀|기획조정실 - 홍보팀|경영지원실 - 총무팀|경영지원실 - 인사팀|경영지원실 - 사옥관리팀|금융사업실 - 금융사업팀|금융사업실 - 대체투자팀|금융사업실 - 회계팀|영업지원실 - 영업업무팀|영업지원실 - 공제사업팀|영업지원실 - 신용심사팀|채권관리실 - 채권관리팀|채권관리실 - 법무팀|정보화지원센터|감사실|해당사항 없음","객관식 단일","17","1=기획조정실 - 기획예산팀|2=기획조정실 - 경영전략팀|3=기획조정실 - 홍보팀|4=경영지원실 - 총무팀|5=경영지원실 - 인사팀|6=경영지원실 - 사옥관리팀|7=금융사업실 - 금융사업팀|8=금융사업실 - 대체투자팀|9=금융사업실 - 회계팀|10=영업지원실 - 영업업무팀|11=영업지원실 - 공제사업팀|12=영업지원실 - 신용심사팀|13=채권관리실 - 채권관리팀|14=채권관리실 - 법무팀|15=정보화지원센터|16=감사실|17=해당사항 없음","","N","raw","label",""
"Q38","응답자 정보","","직급","","실장/센터장|팀장|차장|과장|대리|사원","객관식 단일","6","1=실장/센터장|2=팀장|3=차장|4=과장|5=대리|6=사원","","N","raw","label",""
"Q39","응답자 정보","","응답 코드","","","주관식 문자","","","","N","raw","text",""
